ID,Assess,Score
2A01,Q1,12.5
2A02,Q1,10.0
2A03,Q1,13.0
2A04,Q1,17.0
2A05,Q1,14.0
2A06,Q1,9.0
2A07,Q1,7.0
2A08,Q1,11.5
2A09,Q1,20.0
2A10,Q1,11.0
2A11,Q1,17.0
2A12,Q1,20.0
2A13,Q1,11.5
2A14,Q1,20.0
2A15,Q1,18.0
2A16,Q1,13.5
2A17,Q1,20.0
2A18,Q1,11.0
2A19,Q1,12.5
2A20,Q1,5.0
2A21,Q1,15.0
2A22,Q1,/
2A23,Q1,14.0
2A24,Q1,9.5
2A25,Q1,5.5
2A26,Q1,18.5
2A27,Q1,9.0
2A28,Q1,8.5
2A29,Q1,16.0
2A30,Q1,6.0
2A31,Q1,14.0
2A32,Q1,9.0
2B01,Q1,16.0
2B02,Q1,7.5
2B03,Q1,20.0
2B04,Q1,0.0
2B05,Q1,7.5
2B06,Q1,8.0
2B07,Q1,7.5
2B08,Q1,16.0
2B09,Q1,7.0
2B10,Q1,7.5
2B11,Q1,9.0
2B12,Q1,16.5
2B13,Q1,17.5
2B14,Q1,10.5
2B15,Q1,12.0
2B16,Q1,10.0
2B17,Q1,8.5
2B18,Q1,18.0
2B19,Q1,11.5
2B20,Q1,21.0
2B21,Q1,13.0
2B22,Q1,15.5
2B23,Q1,12.0
2B24,Q1,0.0
2B25,Q1,12.5
2B26,Q1,17.0
2B27,Q1,8.5
2B28,Q1,0.0
2B29,Q1,8.0
2B30,Q1,10.0
2B31,Q1,9.5
2B32,Q1,13.5
2B33,Q1,17.5
2C01,Q1,1.0
2C02,Q1,2.0
2C03,Q1,2.0
2C04,Q1,2.5
2C05,Q1,6.0
2C07,Q1,2.5
2C08,Q1,2.0
2C09,Q1,9.0
2C10,Q1,3.5
2C11,Q1,16.0
2C12,Q1,6.5
2C13,Q1,7.5
2C14,Q1,3.5
2C15,Q1,13.0
2C16,Q1,11.5
2C17,Q1,3.0
2C18,Q1,5.0
2C19,Q1,12.0
2C20,Q1,8.5
2C21,Q1,10.5
2C22,Q1,1.0
2C23,Q1,6.5
2C24,Q1,7.5
2C25,Q1,2.0
2C26,Q1,8.0
2C27,Q1,6.0
